id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
313,Arabia Saudita,0,3,0,0,3,0,12,−12,Grupo E,2002
314,Suecia,5,3,1,2,0,4,3,1,Grupo F,2002
315,Inglaterra,5,3,1,2,0,2,1,1,Grupo F,2002
316,Argentina,4,3,1,1,1,2,2,0,Grupo F,2002
317,Nigeria,1,3,0,1,2,1,3,−2,Grupo F,2002
318,México,7,3,2,1,0,4,2,2,Grupo G,2002
319,Italia,4,3,1,1,1,4,3,1,Grupo G,2002
320,Croacia,3,3,1,0,2,2,3,−1,Grupo G,2002
321,Ecuador,3,3,1,0,2,2,4,−2,Grupo G,2002
322,Japón,7,3,2,1,0,5,2,3,Grupo H,2002
323,Bélgica,5,3,1,2,0,6,5,1,Grupo H,2002
324,Rusia,3,3,1,0,2,4,4,0,Grupo H,2002
325,Túnez,1,3,0,1,2,1,5,−4,Grupo H,2002
326,Alemania,9,3,3,0,0,8,2,6,Grupo A,2006
327,Ecuador,6,3,2,0,1,5,3,2,Grupo A,2006
328,Polonia,3,3,1,0,2,2,4,–2,Grupo A,2006
329,Costa Rica,0,3,0,0,3,3,9,–6,Grupo A,2006
330,Inglaterra,7,3,2,1,0,5,2,3,Grupo B,2006
331,Suecia,5,3,1,2,0,3,2,1,Grupo B,2006
332,Paraguay,3,3,1,0,2,2,2,0,Grupo B,2006
333,Trinidad y Tobago,1,3,0,1,2,0,4,–4,Grupo B,2006
334,Argentina,7,3,2,1,0,8,1,7,Grupo C,2006
335,Países Bajos,7,3,2,1,0,3,1,2,Grupo C,2006
336,Costa de Marfil,3,3,1,0,2,5,6,–1,Grupo C,2006
337,Serbia,0,3,0,0,3,2,10,–8,Grupo C,2006
338,Portugal,9,3,3,0,0,5,1,4,Grupo D,2006
339,México,4,3,1,1,1,4,3,1,Grupo D,2006
340,Angola,2,3,0,2,1,1,2,–1,Grupo D,2006
341,Irán,1,3,0,1,2,2,6,–4,Grupo D,2006
342,Italia,7,3,2,1,0,5,1,4,Grupo E,2006
343,Ghana,6,3,2,0,1,4,3,1,Grupo E,2006
344,República Checa,3,3,1,0,2,3,4,–1,Grupo E,2006
345,Estados Unidos,1,3,0,1,2,2,6,–4,Grupo E,2006
346,Brasil,9,3,3,0,0,7,1,6,Grupo F,2006
347,Australia,4,3,1,1,1,5,5,0,Grupo F,2006
348,Croacia,2,3,0,2,1,2,3,–1,Grupo F,2006
349,Japón,1,3,0,1,2,2,7,–5,Grupo F,2006
350,Suiza,7,3,2,1,0,4,0,4,Grupo G,2006
351,Francia,5,3,1,2,0,3,1,2,Grupo G,2006
352,Corea del Sur,4,3,1,1,1,3,4,–1,Grupo G,2006
353,Togo,0,3,0,0,3,1,6,–5,Grupo G,2006
354,España,9,3,3,0,0,8,1,7,Grupo H,2006
355,Ucrania,6,3,2,0,1,5,4,1,Grupo H,2006
356,Túnez,1,3,0,1,2,3,6,–3,Grupo H,2006
357,Arabia Saudita,1,3,0,1,2,2,7,–5,Grupo H,2006
358,Uruguay,7,3,2,1,0,4,0,4,Grupo A,2010
359,México,4,3,1,1,1,3,2,1,Grupo A,2010
360,Sudáfrica,4,3,1,1,1,3,5,–2,Grupo A,2010
361,Francia,1,3,0,1,2,1,4,–3,Grupo A,2010
362,Argentina,9,3,3,0,0,7,1,6,Grupo B,2010
363,Corea del Sur,4,3,1,1,1,5,6,–1,Grupo B,2010
364,Grecia,3,3,1,0,2,2,5,–3,Grupo B,2010
365,Nigeria,1,3,0,1,2,3,5,–2,Grupo B,2010
366,Estados Unidos,5,3,1,2,0,4,3,1,Grupo C,2010
367,Inglaterra,5,3,1,2,0,2,1,1,Grupo C,2010
368,Eslovenia,4,3,1,1,1,3,3,0,Grupo C,2010
369,Argelia,1,3,0,1,2,0,2,–2,Grupo C,2010
370,Alemania,6,3,2,0,1,5,1,4,Grupo D,2010
371,Ghana,4,3,1,1,1,2,2,0,Grupo D,2010
372,Australia,4,3,1,1,1,3,6,–3,Grupo D,2010
373,Serbia,3,3,1,0,2,2,3,–1,Grupo D,2010
374,Países Bajos,9,3,3,0,0,5,1,4,Grupo E,2010
375,Japón,6,3,2,0,1,4,2,2,Grupo E,2010
376,Dinamarca,3,3,1,0,2,3,6,–3,Grupo E,2010
377,Camerún,0,3,0,0,3,2,5,–3,Grupo E,2010
378,Paraguay,5,3,1,2,0,3,1,2,Grupo F,2010
379,Eslovaquia,4,3,1,1,1,4,5,–1,Grupo F,2010
380,Nueva Zelanda,3,3,0,3,0,2,2,0,Grupo F,2010
381,Italia,2,3,0,2,1,4,5,–1,Grupo F,2010
382,Brasil,7,3,2,1,0,5,2,3,Grupo G,2010
383,Portugal,5,3,1,2,0,7,0,7,Grupo G,2010
384,Costa de Marfil,4,3,1,1,1,4,3,1,Grupo G,2010
385,Corea del Norte,0,3,0,0,3,1,12,–11,Grupo G,2010
386,España,6,3,2,0,1,4,2,2,Grupo H,2010
387,Chile,6,3,2,0,1,3,2,1,Grupo H,2010
388,Suiza,4,3,1,1,1,1,1,0,Grupo H,2010
389,Honduras,1,3,0,1,2,0,3,–3,Grupo H,2010
390,Brasil,7,3,2,1,0,7,2,5,Grupo A,2014
391,México,7,3,2,1,0,4,1,3,Grupo A,2014
392,Croacia,3,3,1,0,2,6,6,0,Grupo A,2014
393,Camerún,0,3,0,0,3,1,9,–8,Grupo A,2014
394,Países Bajos,9,3,3,0,0,10,3,7,Grupo B,2014
395,Chile,6,3,2,0,1,5,3,2,Grupo B,2014
396,España,3,3,1,0,2,4,7,–3,Grupo B,2014
397,Australia,0,3,0,0,3,3,9,–6,Grupo B,2014
398,Colombia,9,3,3,0,0,9,2,7,Grupo C,2014
399,Grecia,4,3,1,1,1,2,4,–2,Grupo C,2014
400,Costa de Marfil,3,3,1,0,2,4,5,–1,Grupo C,2014
401,Japón,1,3,0,1,2,2,6,–4,Grupo C,2014
402,Costa Rica,7,3,2,1,0,4,1,3,Grupo D,2014
403,Uruguay,6,3,2,0,1,4,4,0,Grupo D,2014
404,Italia,3,3,1,0,2,2,3,–1,Grupo D,2014
405,Inglaterra,1,3,0,1,2,2,4,–2,Grupo D,2014
406,Francia,7,3,2,1,0,8,2,6,Grupo E,2014
407,Suiza,6,3,2,0,1,7,6,1,Grupo E,2014
408,Ecuador,4,3,1,1,1,3,3,0,Grupo E,2014
409,Honduras,0,3,0,0,3,1,8,–7,Grupo E,2014
410,Argentina,9,3,3,0,0,6,3,3,Grupo F,2014
