Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Irlanda,5,3,1,2,0,5,2,3,Grupo E,2002
Camerún,4,3,1,1,1,2,3,−1,Grupo E,2002
Angola,2,3,0,2,1,1,2,–1,Grupo D,2006
Inglaterra,7,3,2,1,0,5,2,3,Grupo B,2006
España,9,3,3,0,0,8,1,7,Grupo H,2006
Croacia,2,3,0,2,1,2,3,–1,Grupo F,2006
Costa de Marfil,3,3,1,0,2,5,6,–1,Grupo C,2006
Túnez,1,3,0,1,2,3,6,–3,Grupo H,2006
Alemania,9,3,3,0,0,8,2,6,Grupo A,2006
Argentina,7,3,2,1,0,8,1,7,Grupo C,2006
Portugal,9,3,3,0,0,5,1,4,Grupo D,2006
Francia,5,3,1,2,0,3,1,2,Grupo G,2006
Estados Unidos,1,3,0,1,2,2,6,–4,Grupo E,2006
República Checa,3,3,1,0,2,3,4,–1,Grupo E,2006
Países Bajos,7,3,2,1,0,3,1,2,Grupo C,2006
Polonia,3,3,1,0,2,2,4,–2,Grupo A,2006
Ecuador,6,3,2,0,1,5,3,2,Grupo A,2006
Paraguay,3,3,1,0,2,2,2,0,Grupo B,2006
Ghana,6,3,2,0,1,4,3,1,Grupo E,2006
Suiza,7,3,2,1,0,4,0,4,Grupo G,2006
Italia,7,3,2,1,0,5,1,4,Grupo E,2006
Australia,4,3,1,1,1,5,5,0,Grupo F,2006
Japón,1,3,0,1,2,2,7,–5,Grupo F,2006
Arabia Saudita,1,3,0,1,2,2,7,–5,Grupo H,2006
Costa Rica,0,3,0,0,3,3,9,–6,Grupo A,2006
Irán,1,3,0,1,2,2,6,–4,Grupo D,2006
Trinidad y Tobago,1,3,0,1,2,0,4,–4,Grupo B,2006
Ucrania,6,3,2,0,1,5,4,1,Grupo H,2006
Brasil,9,3,3,0,0,7,1,6,Grupo F,2006
Suecia,5,3,1,2,0,3,2,1,Grupo B,2006
Serbia y Montenegro,0,3,0,0,3,2,10,–8,Grupo C,2006
Corea del Sur,4,3,1,1,1,3,4,–1,Grupo G,2006
Togo,0,3,0,0,3,1,6,–5,Grupo G,2006
México,4,3,1,1,1,4,3,1,Grupo D,2006
Sudáfrica,4,3,1,1,1,3,5,–2,Grupo A,2010
Países Bajos,9,3,3,0,0,5,1,4,Grupo E,2010
Serbia,3,3,1,0,2,2,3,–1,Grupo D,2010
Estados Unidos,5,3,1,2,0,4,3,1,Grupo C,2010
Camerún,0,3,0,0,3,2,5,–3,Grupo E,2010
Argentina,9,3,3,0,0,7,1,6,Grupo B,2010
Corea del Norte,0,3,0,0,3,1,12,–11,Grupo G,2010
Brasil,7,3,2,1,0,5,2,3,Grupo G,2010
Ghana,4,3,1,1,1,2,2,0,Grupo D,2010
Uruguay,7,3,2,1,0,4,0,4,Grupo A,2010
Honduras,1,3,0,1,2,0,3,–3,Grupo H,2010
Paraguay,5,3,1,2,0,3,1,2,Grupo F,2010
Suiza,4,3,1,1,1,1,1,0,Grupo H,2010
Eslovaquia,4,3,1,1,1,4,5,–1,Grupo F,2010
Grecia,3,3,1,0,2,2,5,–3,Grupo B,2010
Argelia,1,3,0,1,2,0,2,–2,Grupo C,2010
Corea del Sur,4,3,1,1,1,5,6,–1,Grupo B,2010
Alemania,6,3,2,0,1,5,1,4,Grupo D,2010
Eslovenia,4,3,1,1,1,3,3,0,Grupo C,2010
Chile,6,3,2,0,1,3,2,1,Grupo H,2010
Australia,4,3,1,1,1,3,6,–3,Grupo D,2010
