year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2006,2006-06-09 00:00:00,Polonia,Ecuador,0,2,No,Lose,Win,29.0,39.0,0.0,0.0,0.0,0.0,88.0,,78.2,82.0,76.2,,,
2006,2006-06-14 00:00:00,Alemania,Polonia,1,0,No,Win,Lose,19.0,29.0,0.0,0.0,0.0,0.0,93.0,88.0,86.2,85.0,86.0,78.2,82.0,76.2
2006,2006-06-15 00:00:00,Ecuador,Costa Rica,3,0,No,Win,Lose,39.0,26.0,0.0,0.0,0.0,0.0,,72.0,,,,69.5,70.0,68.8
2006,2006-06-20 00:00:00,Ecuador,Alemania,0,3,No,Lose,Win,39.0,19.0,0.0,0.0,0.0,0.0,,93.0,,,,86.2,85.0,86.0
2006,2006-06-20 00:00:00,Costa Rica,Polonia,1,2,No,Lose,Win,26.0,29.0,0.0,0.0,0.0,0.0,72.0,88.0,69.5,70.0,68.8,78.2,82.0,76.2
2006,2006-06-10 00:00:00,Inglaterra,Paraguay,1,0,No,Win,Lose,10.0,33.0,0.0,0.0,0.0,0.0,87.0,81.0,89.5,90.0,88.2,76.2,80.0,70.2
2006,2006-06-10 00:00:00,Trinidad y Tobago,Suecia,0,0,No,Draw,Draw,47.0,16.0,0.0,0.0,0.0,0.0,73.0,80.0,65.5,68.0,,79.2,83.3,79.2
2006,2006-06-15 00:00:00,Inglaterra,Trinidad y Tobago,2,0,No,Win,Lose,10.0,47.0,0.0,0.0,0.0,0.0,87.0,73.0,89.5,90.0,88.2,65.5,68.0,
2006,2006-06-15 00:00:00,Suecia,Paraguay,1,0,No,Win,Lose,16.0,33.0,0.0,0.0,0.0,0.0,80.0,81.0,79.2,83.3,79.2,76.2,80.0,70.2
2006,2006-06-20 00:00:00,Suecia,Inglaterra,2,2,No,Draw,Draw,16.0,10.0,0.0,0.0,0.0,0.0,80.0,87.0,79.2,83.3,79.2,89.5,90.0,88.2
