Unnamed: 0,home,score,away,year
62,Alemania,3:1,Portugal,2006
35,Croacia,2:2,Australia,2006
14,Argentina,6:0,Serbia y Montenegro,2006
50,Inglaterra,1:0,Ecuador,2006
31,Brasil,1:0,Croacia,2006
48,Alemania,2:0,Suecia,2006
7,Trinidad y Tobago,0:0,Suecia,2006
34,Japón,1:4,Brasil,2006
55,España,1:3,Francia,2006
0,Alemania,4:2,Costa Rica,2006
37,Francia,0:0,Suiza,2006
29,Ghana,2:1,Estados Unidos,2006
20,México,0:0,Angola,2006
4,Ecuador,0:3,Alemania,2006
52,Italia,1:0,Australia,2006
43,Túnez,2:2,Arabia Saudita,2006
40,Togo,0:2,Francia,2006
8,Inglaterra,2:0,Trinidad y Tobago,2006
49,Argentina,2:1,México,2006
60,Alemania,0:2,Italia,2006
18,México,3:1,Irán,2006
